ModA	ModB	Tamb	RH	WS	WSgust	WSstdev	WD	WDstdev	BP	Cleaning	Precipitation	TModA	TModB
0	0	26.2	93.4	0	0.4	0.1	122.1	0	998	0	0	26.3	26.2
0	0	26.2	93.6	0	0	0	0	0	998	0	0	26.3	26.2
0	0	26.2	93.7	0.3	1.1	0.5	124.6	1.5	997	0	0	26.4	26.2
0	0	26.2	93.3	0.2	0.7	0.4	120.3	1.3	997	0	0	26.4	26.3
0	0	26.2	93.3	0.1	0.7	0.3	113.2	1	997	0	0	26.4	26.3
0	0	26.2	93.8	0	0.4	0.1	119.1	0	997	0	0	26.4	26.3
0	0	26.2	93.7	0	0	0	0	0	997	0	0	26.5	26.3
0	0	26.2	93.7	0.7	1.3	0.6	126.8	2.8	997	0	0	26.5	26.3
0	0	26.2	93.6	0.4	1.1	0.5	124.9	5.5	997	0	0	26.5	26.4
0	0	26.2	93.6	0.5	1.1	0.5	114.2	5.1	997	0	0	26.5	26.4
0	0	26.2	93.6	0.2	1.1	0.4	119.9	2.7	997	0	0	26.5	26.4
0	0	26.2	93.7	0.3	1.1	0.5	112.7	1.4	997	0	0	26.5	26.4
0	0	26.2	93.7	0	0	0	0	0	997	0	0	26.5	26.4
0	0	26.2	93.9	0	0	0	0	0	997	0	0	26.5	26.4
0	0	26.2	93.9	0.6	1.1	0.5	113.7	2.6	997	0	0	26.5	26.3
0	0	26.2	93.8	0.6	1.3	0.6	115.5	3.3	997	0	0	26.5	26.3
0	0	26.2	94	0.8	1.3	0.6	115.3	5.8	998	0	0	26.5	26.3
0	0	26.2	94	0.6	1.3	0.6	116.7	2.1	998	0	0	26.5	26.3
0	0	26.2	93.9	0.4	1.1	0.5	118.1	2.7	997	0	0	26.5	26.3
0	0	26.2	94.2	0.5	1.3	0.6	118.9	4.1	997	0	0	26.5	26.3
0	0	26.2	93.9	0.1	0.7	0.3	117.1	1.8	997	0	0	26.5	26.3
0	0	26.2	94.1	0.2	1.1	0.4	121.3	3.6	997	0	0	26.5	26.3
0	0	26.2	94.1	0	0.4	0.1	131.5	0	997	0	0	26.5	26.3
0	0	26.2	94.1	0.4	1.1	0.5	120.3	2.1	997	0	0	26.5	26.3
0	0	26.2	94.1	0.1	0.7	0.2	95.7	0	997	0	0	26.5	26.3
0	0	26.2	94.2	0	0.4	0.1	106.1	0	997	0	0	26.5	26.3
0	0	26.2	94.3	0	0	0	0	0	997	0	0	26.5	26.3
0	0	26.2	94.4	0.1	0.7	0.2	112.6	0	997	0	0	26.6	26.4
0	0	26.2	94.1	0.1	0.7	0.3	123.6	0.7	997	0	0	26.6	26.4
0	0	26.2	94.2	0.2	1.1	0.4	108.5	0.2	997	0	0	26.6	26.4
0	0	26.2	94.4	0.1	0.7	0.3	109.2	0	997	0	0	26.6	26.4
0	0	26.2	94.4	0	0	0	0	0	998	0	0	26.6	26.4
0	0	26.2	94.2	0	0	0	0	0	998	0	0	26.6	26.4
0	0	26.2	94.5	0	0	0	0	0	997	0	0	26.6	26.4
0	0	26.2	94.6	0.1	1.3	0.4	83.5	0.4	997	0	0	26.7	26.4
0	0	26.2	94.7	0.5	1.3	0.5	107	4.3	997	0	0	26.7	26.4
0	0	26.2	94.5	0.1	0.7	0.3	99.8	0.2	997	0	0	26.7	26.5
0	0	26.2	94.3	0.3	1.1	0.5	111.5	5.1	997	0	0	26.7	26.5
