ModA	ModB	RH	WS
0	0	99.1	0
0	0	99.2	0
0	0	99.2	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.4	0.1
0	0	99.5	0.2
0	0	99.5	0.7
0	0	99.2	0.6
0	0	99.3	0.4
0	0	99.4	0.7
0	0	99.5	0.2
0	0	99.4	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.2	0
0	0	99.3	0
0	0	99.3	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.4	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.2	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.6	0
0	0	99.6	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.6	0
0	0	99.5	0
0	0	99.4	0
0	0	99.3	0
0	0	99.4	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.4	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.2	0
0	0	99.2	0
0	0	99.2	0
0	0	99.2	0
0	0	99.2	0
0	0	99.2	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.3	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.4	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.5	0
0	0	99.6	0.1
0	0	99.5	0.1
0	0	99.5	0.6
0	0	99.5	0.3
0	0	99.5	0.2
0	0	99.6	0.1
0	0	99.6	0.7
0	0	99.6	0
0	0	99.6	0.1
0	0	99.6	0.1
0	0	99.6	0
0	0	99.6	0.2
0	0	99.6	0.1
0	0	99.6	0.5
0	0	99.6	1
0	0	99.6	0.8
0	0	99.7	0.4
0	0	99.7	0.6
0	0	99.8	1.5
0	0	99.7	1.4
0	0	99.8	1.4
0	0	99.8	1.2
0	0	99.8	0.8
0	0	99.8	0.7
0	0	99.8	0.2
0	0	99.9	0.9
0	0	99.9	1.5
0	0	99.9	1.3
0	0	99.9	1.4
0	0	99.9	1.8
0	0	99.9	1.7
0	0	99.9	1.5
0	0	99.9	1.5
0	0	99.9	1.2
0	0	99.9	1.4
0	0	99.9	1.2
0	0	99.9	0.7
0	0	99.9	1
0	0	99.9	1.2
0	0	99.9	1.3
0	0	99.9	1.2
0	0	99.9	1.2
0	0	99.9	1.1
0	0	99.9	1.3
0	0	99.9	0.7
0	0	99.9	1.1
0	0	99.9	0.7
0	0	100	0.4
0	0	100	0.8
0	0	99.9	0.7
0	0	99.9	0.3
0	0	99.9	0.4
0	0	99.9	0.1
0	0	99.9	0.1
0	0	99.9	0
0	0	100	0.1
0	0	99.9	0
0	0	99.9	0
0	0	99.9	0
0	0	99.9	0
0	0	99.9	0
0	0	99.9	0
0	0	99.9	0
0	0	100	0
0	0	99.9	0.1
0	0	99.9	0.2
0	0	99.9	0
0	0	99.9	0.1
0	0	99.8	0
0	0	99.8	0
0	0	99.8	0
0	0	99.8	0
0	0	99.8	0
0	0	99.8	0
0	0	99.8	0
0	0	99.8	0
